combination,optimizer,loss,temperature,lr,clip,decay,epochs,batch_size,binary_encoding,max_code_length,embedding_size,BN,input_embedding_size,encoding_type,bias,dropout,max_authors,model,spm_model_file,train_data,val_data,test_data,val_loss,train_loss
0,adam,simclr,0.05,0.001,1.0,2.5e-06,20,1000,False,500,128,False,32,spm,False,0.2,1600,contrastive_bilstm_v3,no_h/spm_models/c_cpp_program_cc9995_vs4048.model,no_h/encoded_data/c_cpp_program_cc9995_vs4048_a0.5_l-1_train.h5,no_h/encoded_data/c_cpp_program_cc9995_vs4048_a0.5_l-1_val.h5,codenet/cpp/encoded_data/c_cpp_aizu_program_cc9995_vs4048_a0.5_l-1_test.h5,3.4492180347442627,3.4877896308898926
1,adam,simclr,0.05,0.001,1.0,2.5e-06,20,1000,False,500,128,False,32,spm,False,0.0,1600,contrastive_bilstm_v3,no_h/spm_models/c_cpp_program_cc9995_vs4048.model,no_h/encoded_data/c_cpp_program_cc9995_vs4048_a0.5_l-1_train.h5,no_h/encoded_data/c_cpp_program_cc9995_vs4048_a0.5_l-1_val.h5,codenet/cpp/encoded_data/c_cpp_aizu_program_cc9995_vs4048_a0.5_l-1_test.h5,2.4485702514648438,1.5455855131149292
2,adam,simclr,0.05,0.0001,1.0,2.5e-06,20,1000,False,500,128,False,32,spm,False,0.2,1600,contrastive_bilstm_v3,no_h/spm_models/c_cpp_program_cc9995_vs4048.model,no_h/encoded_data/c_cpp_program_cc9995_vs4048_a0.5_l-1_train.h5,no_h/encoded_data/c_cpp_program_cc9995_vs4048_a0.5_l-1_val.h5,codenet/cpp/encoded_data/c_cpp_aizu_program_cc9995_vs4048_a0.5_l-1_test.h5,3.267416477203369,3.161745071411133
3,adam,simclr,0.05,0.0001,1.0,2.5e-06,20,1000,False,500,128,False,32,spm,False,0.0,1600,contrastive_bilstm_v3,no_h/spm_models/c_cpp_program_cc9995_vs4048.model,no_h/encoded_data/c_cpp_program_cc9995_vs4048_a0.5_l-1_train.h5,no_h/encoded_data/c_cpp_program_cc9995_vs4048_a0.5_l-1_val.h5,codenet/cpp/encoded_data/c_cpp_aizu_program_cc9995_vs4048_a0.5_l-1_test.h5,3.152850866317749,2.714454412460327
4,adam,simclr,0.005,0.001,1.0,2.5e-06,20,1000,False,500,128,False,32,spm,False,0.2,1600,contrastive_bilstm_v3,no_h/spm_models/c_cpp_program_cc9995_vs4048.model,no_h/encoded_data/c_cpp_program_cc9995_vs4048_a0.5_l-1_train.h5,no_h/encoded_data/c_cpp_program_cc9995_vs4048_a0.5_l-1_val.h5,codenet/cpp/encoded_data/c_cpp_aizu_program_cc9995_vs4048_a0.5_l-1_test.h5,2.1748671531677246,1.703910231590271
5,adam,simclr,0.005,0.001,1.0,2.5e-06,20,1000,False,500,128,False,32,spm,False,0.0,1600,contrastive_bilstm_v3,no_h/spm_models/c_cpp_program_cc9995_vs4048.model,no_h/encoded_data/c_cpp_program_cc9995_vs4048_a0.5_l-1_train.h5,no_h/encoded_data/c_cpp_program_cc9995_vs4048_a0.5_l-1_val.h5,codenet/cpp/encoded_data/c_cpp_aizu_program_cc9995_vs4048_a0.5_l-1_test.h5,2.407076120376587,1.3947927951812744
6,adam,simclr,0.005,0.0001,1.0,2.5e-06,20,1000,False,500,128,False,32,spm,False,0.2,1600,contrastive_bilstm_v3,no_h/spm_models/c_cpp_program_cc9995_vs4048.model,no_h/encoded_data/c_cpp_program_cc9995_vs4048_a0.5_l-1_train.h5,no_h/encoded_data/c_cpp_program_cc9995_vs4048_a0.5_l-1_val.h5,codenet/cpp/encoded_data/c_cpp_aizu_program_cc9995_vs4048_a0.5_l-1_test.h5,3.257899761199951,3.14029598236084
7,adam,simclr,0.005,0.0001,1.0,2.5e-06,20,1000,False,500,128,False,32,spm,False,0.0,1600,contrastive_bilstm_v3,no_h/spm_models/c_cpp_program_cc9995_vs4048.model,no_h/encoded_data/c_cpp_program_cc9995_vs4048_a0.5_l-1_train.h5,no_h/encoded_data/c_cpp_program_cc9995_vs4048_a0.5_l-1_val.h5,codenet/cpp/encoded_data/c_cpp_aizu_program_cc9995_vs4048_a0.5_l-1_test.h5,3.280282497406006,2.8603453636169434
8,adam,simclr,0.0005,0.001,1.0,2.5e-06,20,1000,False,500,128,False,32,spm,False,0.2,1600,contrastive_bilstm_v3,no_h/spm_models/c_cpp_program_cc9995_vs4048.model,no_h/encoded_data/c_cpp_program_cc9995_vs4048_a0.5_l-1_train.h5,no_h/encoded_data/c_cpp_program_cc9995_vs4048_a0.5_l-1_val.h5,codenet/cpp/encoded_data/c_cpp_aizu_program_cc9995_vs4048_a0.5_l-1_test.h5,2.2758443355560303,1.55751371383667
9,adam,simclr,0.0005,0.001,1.0,2.5e-06,20,1000,False,500,128,False,32,spm,False,0.0,1600,contrastive_bilstm_v3,no_h/spm_models/c_cpp_program_cc9995_vs4048.model,no_h/encoded_data/c_cpp_program_cc9995_vs4048_a0.5_l-1_train.h5,no_h/encoded_data/c_cpp_program_cc9995_vs4048_a0.5_l-1_val.h5,codenet/cpp/encoded_data/c_cpp_aizu_program_cc9995_vs4048_a0.5_l-1_test.h5,2.4383771419525146,1.7310075759887695
10,adam,simclr,0.0005,0.0001,1.0,2.5e-06,20,1000,False,500,128,False,32,spm,False,0.2,1600,contrastive_bilstm_v3,no_h/spm_models/c_cpp_program_cc9995_vs4048.model,no_h/encoded_data/c_cpp_program_cc9995_vs4048_a0.5_l-1_train.h5,no_h/encoded_data/c_cpp_program_cc9995_vs4048_a0.5_l-1_val.h5,codenet/cpp/encoded_data/c_cpp_aizu_program_cc9995_vs4048_a0.5_l-1_test.h5,3.5829365253448486,3.523693561553955
11,adam,simclr,0.0005,0.0001,1.0,2.5e-06,20,1000,False,500,128,False,32,spm,False,0.0,1600,contrastive_bilstm_v3,no_h/spm_models/c_cpp_program_cc9995_vs4048.model,no_h/encoded_data/c_cpp_program_cc9995_vs4048_a0.5_l-1_train.h5,no_h/encoded_data/c_cpp_program_cc9995_vs4048_a0.5_l-1_val.h5,codenet/cpp/encoded_data/c_cpp_aizu_program_cc9995_vs4048_a0.5_l-1_test.h5,3.5161688327789307,3.1914310455322266
